SUBINDICE,INDICADOR,DESCRIPCION,NOTAS,CATEGORIAS
Sociedad,Mortalidad por VIH-SIDA,"Defunciones a causa de VIH/SIDA por cada 100,000 habitantes",,"Salud, Bienestar, Grupos Vulnerables, Objetivos del Milenio, Sector Automotriz"
Sociedad,Muertes por Accidentes Relacionados con Transporte,"Incluido en el subíndice ""Precursores"". Qué mide: El número de muertes ocasionadas por accidentes relacionados con el transporte por cada 100 mil habitantes.","Unidades: Muertes por cada 100 mil habitantes. Fuente: Sistema Nacional de Información en Salud (SINAIS), 2008-2012.","Índice de Competitividad Urbana, Movilidad"
Sociedad,Mujeres en la Fuerza Laboral,"Incluido en el subíndice ""Sociedad Preparada, Incluyente y Sana"". Mide el número de mujeres en la PEA como proporción del total de mujeres en edad de trabajar. De acuerdo con la ENOE, la edad para trabajar empieza a partir de los 14 años.",Fuente: INEGI (ENOE).,"Índice de Competitividad Urbana, Género"
Sociedad,Nivel cuatro de Lenguaje y Comunicación de PLANEA,"Porcentaje de alumnos que pasaron el nivel 4 de PLANEA 2017. 
Nivel 4: Seleccionan y organizan información pertinente de un texto argumentativo; identifican la postura del autor, interpretan información de textos argumentativos (como reseñas críticas y artículos de opinión) e infieren la paráfrasis de un texto expositivo (como un artículo de divulgación).","Datos tomados de la [Prueba PLANEA 2017](""http://planea.sep.gob.mx/ms/base_de_datos_2017"").",Educación
Sociedad,Nivel cuatro de Matemáticas de PLANEA,"Porcentaje de alumnos que pasaron el nivel 4 de PLANEA 2017.
Nivel 4: Dominan las reglas para transformar y operar con el lenguaje matemático (por ejemplo, las leyes de los signos): expresan en lenguaje matemático las relaciones que existen entre dos variables de una situación o fenómeno; y determinan algunas de sus características (por ejemplo, deducen la ecuación de la línea recta a partir de su gráfica).","Datos tomados de la [Prueba PLANEA 2017](""http://planea.sep.gob.mx/ms/base_de_datos_2017"").",Educación
Sociedad,Nivel dos de Lenguaje y Comunicación de PLANEA,"Porcentaje de alumnos que pasaron el nivel 2 de PLANEA 2017. 
Nivel 2: Identifican las ideas principales que sustentan la propuesta de un artículo de opinión breve,
discriminan y relacionan información oportuna y confiable, y la organizan a partir de un propósito.","Datos tomados de la [Prueba PLANEA 2017](""http://planea.sep.gob.mx/ms/base_de_datos_2017"").",Educación
Sociedad,Nivel dos de Matemáticas de PLANEA,"Porcentaje de alumnos que pasaron el nivel 2 de PLANEA 2017.
Nivel 2: Expresan en lenguaje matemático situaciones donde se desconoce un valor o las relaciones de proporcionalidad entre dos variables, y resuelven problemas que implican proporciones entre cantidades (por ejemplo, el cálculo de porcentajes).","Datos tomados de la [Prueba PLANEA 2017](""http://planea.sep.gob.mx/ms/base_de_datos_2017"").",Educación
Sociedad,Nivel tres de Lenguaje y Comunicación de PLANEA,"Porcentaje de alumnos que pasaron el nivel 3 de PLANEA 2017. 
Nivel 3: Reconocen en un artículo de opinión: propósito, conectores argumentativos y partes que lo constituyen (tesis, argumentos y conclusión); identifican las diferencias entre información objetiva, opinión y valoración del autor; identifican las diferentes formas en que se emplea el lenguaje escrito de acuerdo con la finalidad comunicativa y utilizan estrategias para comprender lo que leen.","Datos tomados de la [Prueba PLANEA 2017](""http://planea.sep.gob.mx/ms/base_de_datos_2017"").",Educación
Sociedad,Nivel tres de Matemáticas de PLANEA,"Porcentaje de alumnos que pasaron el nivel 3 de PLANEA 2017.
Nivel 3: Emplean el lenguaje matemático para resolver problemas que requieren del cálculo de valores desconocidos, y para analizar situaciones de proporcionalidad.","Datos tomados de la [Prueba PLANEA 2017](""http://planea.sep.gob.mx/ms/base_de_datos_2017"").",Educación
Sociedad,Nivel uno de Lenguaje y Comunicación de PLANEA,"Porcentaje de alumnos que pasaron el nivel 1 de PLANEA 2017. 
Nivel 1: No identifican la postura del autor en artículos de opinión, ensayos o reseñar críticas; ni explican la información de un texto sencillo con palabras diferentes a las de la lectura.","Datos tomados de la [Prueba PLANEA 2017](""http://planea.sep.gob.mx/ms/base_de_datos_2017"").",Educación
Sociedad,Nivel uno de Matemáticas de PLANEA,"Porcentaje de alumnos que pasaron el nivel 1 de PLANEA 2017.
Nivel 1: Tienen dificultades para realizar operaciones con fracciones y operaciones que combinen incógnitas o variables (representadas con letras), así como para establecer y analizar entre dos variables.","Datos tomados de la [Prueba PLANEA 2017](""http://planea.sep.gob.mx/ms/base_de_datos_2017"").",Educación
Sociedad,Ocupación por Vivienda,Promedio de ocupantes por vivienda. Difiere del índice de hacinamiento en que el segundo es resultado de dividir el número de personas que residen en viviendas particulares habitadas entre el número de cuartos de esas viviendas.,Datos obtenidos de [INEGI. Censos de población y vivienda 2010](http://www.inegi.org.mx/sistemas/consulta_resultados/iter2010.aspx),"Vivienda, Sector Automotriz"
Sociedad,Organizaciones de la Sociedad Civil,"Dentro del Índice de Competitividad Urbana del IMCO forma parte de subíndice de ""Sistema Político Estable y Funcional"". Este indicador busca captar la capacidad de la sociedad para organizarse y ejercer presión social sobre las autoridades. Se incluyen iglesias y organizaciones religiosas.","Unidades: Organizaciones por cada 100 mil habitantes. Fuente: Secretaría de Gobernación (SEGOB), 2013. 
Registro Federal de Organizaciones de la Sociedad Civil. Consulta [Base de Datos](http://www.corresponsabilidad.gob.mx/)","Participación Ciudadana, Gobierno, Índice de Competitividad Urbana"
Sociedad,Población Católica,"Porcentaje de la población que dijo ser, pertenecer o profesar la religión católica.",Consulta la [Base de Datos](http://www.inegi.org.mx/sistemas/consulta_resultados/iter2010.aspx?c=27329&s=est),"Población, Sector Automotriz"
Sociedad,Población con al menos tres carencias sociales,Porcentaje de la población con al menos tres carencias sociales,"Datos tomados del [CONEVAL](""https://www.coneval.org.mx/Medicion/Paginas/consulta_pobreza_municipal.aspx"")",Bienestar
Sociedad,Población con al menos una carencia social,Porcentaje de la población con al menos una carencia social,"Datos tomados del [CONEVAL](""https://www.coneval.org.mx/Medicion/Paginas/consulta_pobreza_municipal.aspx"")",Bienestar
Sociedad,Población con carencia a la seguridad social,Porcentaje de población con carencia por acceso a la seguridad social.,"Datos tomados del [CONEVAL](""https://www.coneval.org.mx/Medicion/Paginas/consulta_pobreza_municipal.aspx"")",Bienestar
Sociedad,Población con carencia alimentaria.,Porcentaje de población con carencia por acceso a la alimentación,"Datos tomados del [CONEVAL](""https://www.coneval.org.mx/Medicion/Paginas/consulta_pobreza_municipal.aspx"")",Bienestar
Sociedad,Población con carencia de acceso a la salud,Porcentaje de población con carencia por acceso a los servicios de salud.,"Datos tomados del [CONEVAL](""https://www.coneval.org.mx/Medicion/Paginas/consulta_pobreza_municipal.aspx"")",Bienestar
Sociedad,Población con carencia de servicios básicos,Porcentaje de población con carencia por calidad y espacios de la vivienda.,"Datos tomados del [CONEVAL](""https://www.coneval.org.mx/Medicion/Paginas/consulta_pobreza_municipal.aspx"").",Bienestar
Sociedad,Población con carencia de vivienda,Porcentaje de población con carencia por calidad y espacios de la vivienda.,"Datos tomados del [CONEVAL](""https://www.coneval.org.mx/Medicion/Paginas/consulta_pobreza_municipal.aspx"")",Bienestar
Sociedad,Población con carencia educativa,Porcentaje de la población con carencia por rezago educativo,"Datos tomados del [CONEVAL](""https://www.coneval.org.mx/Medicion/Paginas/consulta_pobreza_municipal.aspx"")",Bienestar
Sociedad,Población con ingreso inferior a la línea de bienestar.,"Incluido en el subíndice ""Sociedad Preparada, Incluyente y Sana"". Mide la proporción de la PEA ocupada con ingresos menores a la línea de bienestar mínimo que marca CONEVAL. En diciembre 2012, esta línea se ubicó en $2,388 pesos. Incluye tanto la canasta básica alimentaria como la no alimentaria.","Fuente: INEGI (ENOE), CONEVAL.","Índice de Competitividad Urbana, Bienestar"
Sociedad,Población con ingreso inferior a la línea de bienestar mínimo.,Porcentaje de población con ingreso inferior a la línea de bienestar mínimo.,"Datos tomados del [CONEVAL](""https://www.coneval.org.mx/Medicion/Paginas/consulta_pobreza_municipal.aspx"").",Bienestar
Sociedad,Población de 15 años o más analfabeta,Personas de 15 años o más que no saben leer ni escribir.,"Fuente: XII Censo de Población y Vivienda 2000, II Conteo de Población y Vivienda 2005, Censo de Población y Vivienda 2010 y Encuesta Intercensal 2015.","Educación, Sector Automotriz"
Sociedad,Población Derechohabiente,Población derechohabiente a los servicios de salud.,Fuente: INEGI,"Salud, Sector Automotriz"
Sociedad,Población Estimada,Población estimada a mitad de año.,Estimaciones de CONAPO en base a INEGI. Consulta la [Base de Datos](http://www.conapo.gob.mx/es/CONAPO/Proyecciones_Datos),"Población, Sector Automotriz"
Sociedad,Población no pobre y no vulnerable,Porcentaje de la población sin condición de pobreza ni vulnerabilidad,"Datos tomados del [CONEVAL](""https://www.coneval.org.mx/Medicion/Paginas/consulta_pobreza_municipal.aspx"")",Bienestar
Sociedad,Población vulnerable por carencias sociales,Porcentaje de población vulnerable por carencias sociales,"Datos tomados del [CONEVAL](""https://www.coneval.org.mx/Medicion/Paginas/consulta_pobreza_municipal.aspx"")",Bienestar
Sociedad,Población vulnerable por ingresos,Porcentaje de la población vulnerable por la cantidad de ingresos,"Datos tomados del [CONEVAL](""https://www.coneval.org.mx/Medicion/Paginas/consulta_pobreza_municipal.aspx"")",Bienestar
Sociedad,Pobreza,Porcentaje de la población en situación de pobreza.,Consulta la [Base de Datos](http://www.coneval.gob.mx/Medicion/Paginas/Medici%C3%B3n/Pobreza%202012/Pobreza-2012.aspx),"Bienestar, Sector Automotriz"
Sociedad,Pobreza Extrema,Porcentaje de la población en situación de pobreza extrema.,Consulta la [Base de Datos](http://www.coneval.gob.mx/Medicion/Paginas/Medici%C3%B3n/Pobreza%202012/Pobreza-2012.aspx),"Bienestar, Objetivos del Milenio, Sector Automotriz"
Sociedad,Pobreza Moderada,Porcentaje de la población en situación de pobreza moderada.,Consulta la [Base de Datos](http://www.coneval.gob.mx/Medicion/Paginas/Medici%C3%B3n/Pobreza%202012/Pobreza-2012.aspx),"Bienestar, Sector Automotriz"
Sociedad,Promedio de Descendencia por Varón,Calcula el promedio estimado de hijos por cada varón.,Estimación propia en base al dato de Ocupación por Vivienda,Población
Sociedad,Razón de ingreso de población con pobreza extrema,Cociente del ingreso promedio de la población pobre extrema y el ingreso promedio de la población no pobre y no vulnerable.,"Datos tomados del [CONEVAL](""https://www.coneval.org.mx/Medicion/Paginas/consulta_pobreza_municipal.aspx"")",Bienestar
Sociedad,Razón de Mortalidad Materna,La razón de mortalidad materna es la medida de mortalidad materna más usada. Mide el riesgo obstétrico una vez que la mujer queda embarazada.,"Utilizado como uno de los indicadores para los Objetivos del Milenio (Mejorar la Salud Materna). Dirección General de Información en Salud (DGIS). Base de datos de muertes maternas, 2013. Sistema Nacional de Información en Salud (SINAIS). Secretaría de Salud. Consulta: 13 de enero 2015.","Salud, Género, Bienestar, Objetivos del Milenio, Sector Automotriz"
Sociedad,Razón entre Mujeres y Hombres en la Enseñanza Media Superior,Se calcula dividiendo la Población Femenina entre 15 y 17 años que asiste a la escuela entre la Población Masculina entre 15 y 17 años que asiste a la escuela. El índice de paridad entre los géneros (IPG) es la relación entre el valor correspondiente al sexo femenino y el correspondiente al sexo masculino para un indicador dado. Un IPG de 1 significa paridad entre los géneros.,"La UNESCO considera que existe equidad de género en educación, si el IPG se ubica entre 0.96 y 1.04. Referencia: Data Sources for MDG Monitoring. Technical Note.
Consulta la [Base de Datos](http://www3.inegi.org.mx/sistemas/iter/default.aspx?ev=5)","Educación, Género, Objetivos del Milenio, Sector Automotriz"
Sociedad,Rendimiento Académico,"Incluido en el subíndice ""Sociedad Preparada, Incluyente y Sana"". Mide el porcentaje de alumnos de educación básica y media superior que obtuvieron niveles bueno y excelente en el examen de matemáticas de la prueba ENLACE. Se calificó con 0 a aquellas ciudades en donde menos de 80% de los alumnos presentaron la prueba.",Porcentaje de alumnos de educación básica y media superior en niveles Bueno y Excelente en Matemáticas de prueba ENLACE. Fuente: Mejora tu Escuela con datos de la Secretaría de Educación Pública (SEP).,"Índice de Competitividad Urbana, Educación"
Sociedad,Rezago Alimentario,Personas que presenten un grado de inseguridad alimentaria moderado o severo.,Consulta la [BasedeDatos](http://www.coneval.gob.mx/Medicion/Paginas/Medici%C3%B3n/Anexo-estad%C3%ADstico-municipal-2010.aspx),"Grupos Vulnerables, Bienestar, Sector Automotriz"
Sociedad,Rezago Educativo,"Tiene 3 a 15 años, no cuenta con la educación básica obligatoria y no asiste a un centro de educación formal; o tiene 16 años o más, nació antes de 1982 y no cuenta con el nivel de educación obligatoria vigente en el momento en que debía haberla cursado; o tiene 16 años o más, nació a partir de 1982 y no cuenta con el nivel de educación obligatoria.",Fuente CONEVAL. Consulta la [Base de Datos](http://www.coneval.gob.mx/Medicion/Paginas/Medici%C3%B3n/Anexo-estad%C3%ADstico-municipal-2010.aspx).,"Educación, Grupos Vulnerables, Objetivos del Milenio, Sector Automotriz"
Sociedad,Tasa de Mortalidad Materna,La tasa de mortalidad materna mide el riesgo de morir e incluye tanto la posibilidad de quedar embarazada como de morir durante el embarazo o el puerperio.,Dirección General de Información en Salud (DGIS). Base de datos de defunciones generales 1979-2007. [Sistema Nacional de Información en Salud SINAIS](http://www.sinais.salud.gob.mx). Secretaría de Salud. Consulta: 01 abril 2014.,"Salud, Género, Sector Automotriz"
Sociedad,Universidades,Planteles de Instituciones de Educación Superior.,"Las escuelas y facultades de la UAdeC son contabilizadas en una unidad. Únicamente se contabilizan los planteles ubicados en Matamoros, Torreón, Gómez Palacio y Lerdo.

* Escuela Normal de la Laguna
* Escuela Normal de Torreón
* Instituto 18 de Marzo
* Instituto Superior Francisco Gonzalez de la Vega
* Instituto Tecnológico de Torreón (ITA 10)
* Instituto Tecnológico y de Estudios Superiores de Monterrey Campus Laguna
* Instituto Tecnológico de la Laguna
* Instituto Tecnológico Superior de Lerdo
* Universidad Autónoma Agraria Antonio Narro
* Universidad Autónoma de Coahuila
* Universidad Autónoma de la Laguna
* Universidad Autónoma del Noreste
* Universidad Iberoamericana
* Universidad Juárez del Estado de Durango
* Universidad La Salle
* Universidad Pedagógica Nacional
* Universidad del Valle de México
* Universidad Tec Milenio
* Universidad Interamericana para el Desarrollo
* Universidad Politécnica de Gómez Palacio
* Universidad del Desarrollo Profesional
* National Institute of Information Technologies
* Universidad Tecnológica de Torreón
* Instituto Estatal de Desarrollo Docente e investigación Educativa Unidad Matamoros
* Instituto Estatal de Desarrollo Docente e investigación Educativa Unidad Torreón
* Universidad Autónoma de Durango Campus Gómez Palacio
* Universidad Autónoma de Durango Campus Torreón
* Instituto Ma Esther Zuno de Echeverría
* Instituto de Estudios Superiores y Educación Normal Gral. Lázaro Cárdenas
* Universidad Tecnológica de La Laguna Durango
* Universidad Pedagógica de Durango-UGP",Educación
Sociedad,Universidades de Calidad,"Incluido en el subíndice ""Sociedad Preparada, Incluyente y Sana"". Mide el número de universidades dentro de las 300 mejores de América Latina.",Fuente: QS Top Universities.,"Índice de Competitividad Urbana, Educación"
Sociedad,Uso de Servicios Financieros,"Incluido en el subíndice ""Precursores"". Qué mide: El número de tarjetas de débito o crédito por adulto como proxy del uso de los servicios financieros.","Unidades: Tarjetas por adulto. Fuente: Comisión Nacional Bancaria y de Valores (CNBV), 2010-2012.",Índice de Competitividad Urbana
Sociedad,Uso de Twitter como Proxy de Uso de Tecnologías de Información,"Incluido en el subíndice ""Precursores"". Qué mide: El número de Twits por hora por cada mil habitantes, como proxy del uso de tecnologías de información.","Fuente: IMCO, 2013.","Índice de Competitividad Urbana, Innovación"
Sociedad,Usuarios de Internet,Porcentaje de la población que usa internet.,"El dato disponible es estatal, aunque la metodología de MODUTIH considera la cifra representativa para los municipios. Cálculo realizado con datos de MODUTIH y CONAPO. Se considera a todos los segmentos etarios de la población estimada para 2013. Consulta la [Base deDatos](http://www3.inegi.org.mx/sistemas/sisept/default.aspx?t=tinf255&s=est&c=28978).","Innovación, Competitividad, Objetivos del Milenio"
Sociedad,Visitas a Museos INAH,"Incluido en el subíndice ""Sociedad Preparada, Incluyente y Sana"". Mide el número de visitas a museos del Instituto Nacional de Antropología e Historia (INAH) durante un año.",Fuente: INAH.,"Índice de Competitividad Urbana, Cultura"
Sociedad,Viviendas con Agua de la Red Pública,Porcentaje de viviendas habitadas que cuentan con acceso al agua de la red pública.,Consulta la [Base de Datos](http://www.inegi.org.mx/biinegi/). Las cifras 2015 corresponden a la Encuesta Intercensal de INEGI y son estimaciones.,"Vivienda, Sector Automotriz"
Sociedad,Viviendas con Computadora,Porcentaje de viviendas habitadas con computadora.,Consulta la [Base de Datos](http://www.inegi.org.mx/biinegi/). Los datos de 2015 son de la Encuesta Intercensal 2015 de INEGI y son estimaciones.,"Índice de Competitividad Urbana, Vivienda, Sector Automotriz"
Sociedad,Viviendas con Drenaje,Porcentaje de viviendas habitadas que disponen de drenaje.,Consulta la [Base de Datos](http://www.inegi.org.mx/biinegi/). Los datos 2015 corresponden a la Encuesta Intercensal 2015 de INEGI y son estimaciones.,"Vivienda, Sector Automotriz"
Sociedad,Viviendas con Drenaje (sólo conexión a red pública),"Incluido en el subíndice ""Sociedad Preparada, Incluyente y Sana"". Mide las Viviendas con acceso a la red pública de drenaje.","Fuente: Estimaciones de IMCO a partir del Módulo de Condiciones Socioeconómicas (MCS) del Consejo Nacional para la Evaluación de la Política de Desarrollo Social (CONEVAL). El SMI cuenta con el indicador ""Viviendas con Drenaje"" el cual está basado en datos del Censo de Población y Vivienda 2010 de INEGI.","Índice de Competitividad Urbana, Vivienda"
Sociedad,Viviendas con Energía Eléctrica,Porcentaje de viviendas con acceso a energía eléctrica,Consulta la [Base de Datos](http://www.inegi.org.mx/biinegi/). Los datos de 2015 corresponden a la Encuesta Intercensal 2015 de INEGI y son estimaciones.,"Vivienda, Sector Automotriz"
Sociedad,Viviendas con Internet,Porcentaje de viviendas habitadas con internet.,Consulta la [Base de Datos](http://www.inegi.org.mx/biinegi/). Los datos de 2015 son de la Encuesta Intercensal 2015 de INEGI y son estimaciones.,"Vivienda, Sector Automotriz"
Sociedad,Viviendas con Líneas Telefónicas Móviles,"Incluido en el subíndice ""Precursores"". Mide el número de viviendas que cuentan con líneas telefónicas móviles como porcentaje del total de viviendas habitadas.","Unidades: Porcentaje de viviendas habitadas. Fuente: Estimaciones de IMCO a partir del Módulo de Condiciones Socioeconómicas (MCS) del Consejo Nacional para la Evaluación de la Política de Desarrollo Social (CONEVAL), 2008-2012.","Índice de Competitividad Urbana, Vivienda"
Sociedad,Viviendas con Piso de Tierra,"Incluido en el subíndice ""Sociedad Preparada, Incluyente y Sana"". Mide el número de viviendas con piso de tierra.",Unidades: Por cada 100 viviendas habitadas. Fuente: Estimaciones de IMCO a partir del MCS (CONEVAL).,"Índice de Competitividad Urbana, Vivienda"
Sociedad,Viviendas Habitadas,,Los datos de 2010 corresponden al Censo 2010 de INEGI. Los datos de 2015 corresponden a la Encuesta Intercensal de INEGI y son estimaciones.,"Vivienda, Sector Automotriz"
Sociedad,Viviendas que Disponen de Retrete,Porcentaje de viviendas habitadas que disponen de retrete.,Consulta la [Base de Datos](http://www.inegi.org.mx/biinegi/).,"Vivienda, Salud, Sector Automotriz"
Sociedad,Viviendas Totales,,,Vivienda
Sustentabilidad,Acceso a Vialidades Pavimentadas,Porcentaje de manzanas que cuentan con acceso a vialidades pavimentadas.,"Censo de Población y Vivienda 2010. Consulta las [Bases de Datos](http://www.inegi.org.mx/est/contenidos/proyectos/ccpv/cpv2010/tabulados_urbano.aspx)
Encuesta Intercensal 2015. Consulta la [Base de Datos](http://www.inegi.org.mx/est/contenidos/proyectos/encuestas/hogares/especiales/ei2015/default.aspx)","Movilidad, Vialidad, Infraestructura, Sector Automotriz"
Sustentabilidad,Acciones de Monitoreo de la Calidad del Aire,"Incluido en el subíndice ""Manejo Sustentable del Medio Ambiente"". Responde a la pregunta: ¿Realiza acciones de monitoreo de calidad del aire? SI=1, NO=0","Fuente: IMCO, basado en Centro Mario Molina. [Consulta] (""http://imco.org.mx/indices/#!/#indicesreeleccion-municipal-y-rendicion-de-cuentas%2F"")",Medio Ambiente
Sustentabilidad,Actualización de Resultados del Monitoreo de la Calidad del Aire,"Incluido en el subíndice ""Manejo Sustentable del Medio Ambiente"". Responde a la pregunta: ¿Actualiza los resultados del monitoreo de la calidad del aire al menos una vez por semana? SI=1, NO=0","Fuente: IMCO, basado en Centro Mario Molina. [Consulta] (""http://imco.org.mx/indices/#!/#indicesreeleccion-municipal-y-rendicion-de-cuentas%2F"")","Medio Ambiente, Gobierno"
Sustentabilidad,Aerolíneas,"Incluido en el subíndice ""Precursores"". Qué mide: El número de aerolíneas que operan en el aeropuerto de la ciudad.","Fuente: IMCO con información de la Secretaría de Comunicaciones y Transportes (SCT), 2013.",Índice de Competitividad Urbana
Sustentabilidad,Alumbrado Público,Porcentaje de viviendas sin acceso a alumbrado público en su manzana,Censo de Población y Vivienda 2010. Consulta las [Bases de Datos](http://www.inegi.org.mx/est/contenidos/proyectos/ccpv/cpv2010/tabulados_urbano.aspx),"Servicios Públicos, Sector Automotriz"
Sustentabilidad,Aprovechamiento del Biogás en Rellenos Sanitarios,"Incluido en el subíndice ""Manejo Sustentable del Medio Ambiente"". Mide si la ciudad cuenta con captación, conducción e impulsión del biogás que se genera en los rellenos sanitarios de la ciudad.","Fuente: Secretaría de Desarrollo Social (SEDESOL), 2012.","Índice de Competitividad Urbana, Medio Ambiente, Recursos Naturales"
Sustentabilidad,Aprovechamiento o Quema de Biogás en Rellenos Sanitarios,"Incluido en el subíndice ""Manejo Sustentable del Medio Ambiente"". Expone si en la ciudad existe o no aprovechamiento de biogás en rellenos sanitarios. SI=1, NO=0","Fuente: IMCO, basado en Centro Mario Molina. [Consulta] (""http://imco.org.mx/indices/#!/#indicesreeleccion-municipal-y-rendicion-de-cuentas%2F"")",Medio Ambiente
Sustentabilidad,Árboles plantados por año,Número de árboles plantados en el año por cada 100 mil habitantes.,Datos tomados de la Dirección General de Medio Ambiente (DGMA).,Medio ambiente
Sustentabilidad,Área No Urbanizada,Área total de localidades no urbanizadas sobre la superficie municipal.,Descarga de [Base de Datos](http://www3.inegi.org.mx/sistemas/productos/default.aspx?c=265&upc=0&s=est&tg=3594&f=2&cl=0&pf=prod&ef=0&ct=201100000&pg=2),"Recursos Naturales, Sector Automotriz"
Sustentabilidad,Calidad del Agua Superficial (Demanda Bioquímica de Oxígeno),"Calidad del Agua Superficial respecto a la Demanda Bioquímica de Oxígeno (DBO), medida en una escala de 0 a 5, en donde 0 es muy contaminada y 5 es de excelente calidad.","Fuente: DGMA, basado en CONAGUA",Medio Ambiente
Sustentabilidad,Calidad del Agua Superficial (Demanda Química de Oxígeno),"Calidad del Agua Superficial respecto a la Demanda Química de Oxígeno (DQO), medida en una escala de 0 a 5, en donde 0 es muy contaminada y 5 es de excelente calidad.","Fuente: DGMA, basado en CONAGUA",Medio Ambiente
Sustentabilidad,Calidad del Agua Superficial (Sólidos Suspendidos Totales),"Calidad del Agua Superficial respecto a Sólidos Suspendidos Totales (SST), medida en una escala de 0 a 5, en donde 0 es muy contaminada y 5 es de excelente calidad.","Fuente: DGMA, basado en CONAGUA",Medio Ambiente
Sustentabilidad,Capacidad de Tratamiento de Agua en Operación,"Incluido en el subíndice ""Manejo Sustentable del Medio Ambiente"". Mide la capacidad instalada de tratamiento de aguas que aprovecha cada ciudad.","Fuente: IMCO, basado en INEGI. [Consulta] (""http://imco.org.mx/indices/#!/#indicesreeleccion-municipal-y-rendicion-de-cuentas%2F"")","Índice de Competitividad Urbana, Medio Ambiente, Recursos Naturales"
Sustentabilidad,Capacidad de Tratamiento de Agua en Operación (La Laguna),"Incluido en el subíndice ""Manejo Sustentable del Medio Ambiente"". Mide la capacidad instalada de tratamiento de aguas que aprovecha la región en litros por segundo por cada mil habitantes.","Fuente: IMCO. [Consulta] (""http://imco.org.mx/indices/#!/#indicesreeleccion-municipal-y-rendicion-de-cuentas%2F"")","Índice de Competitividad Urbana, Medio Ambiente, Recursos Naturales"
Sustentabilidad,Concentración de Dióxido de Azufre (SO2) en el Aire,"Suma de las concentraciones diarias de SO2 de todo el año, dividida entre los 365 días del año. Se expresa en microgramos sobre metro cúbico.",Fuente: SEMA,Medio Ambiente
Sustentabilidad,Concentración de Dióxido de Nitrógeno (NO2) en el Aire,"Suma de las concentraciones diarias de NO2 de todo el año, dividida entre los 365 días del año. Se expresa en microgramos sobre metro cúbico estándar.",Fuente: SEMA,Medio Ambiente
Sustentabilidad,Concentración de Ozono (O3) en el Aire,"Suma de las concentraciones diarias de O3 de todo el año, dividida entre los 365 días del año. Se expresa en microgramos sobre metros cúbicos.",Fuente: SEMA,Medio Ambiente
Sustentabilidad,Concentración de Partículas menores a 10 micras,Calidad del aire por la medición de las partículas menores a 10 microgramos por metro cúbico en promedio de 24 horas. La Norma Oficial Mexicana NOM-025-SSA1-2014 indica que el límite para efectos de protección de la salud es 75 ug por m3.,"* En 2017 se tienen en operación 3 equipos de PM10 (Partículas Menores a 10 micras). 
* Se ajustaron las fuentes para generar varias gráficas, una por cada estación de monitoreo.
* Fuente: [Dirección General de Medio Ambiente de Torreón](http://www.torreon.gob.mx/medioambiente/)
* Descarga: [Portal de Datos Públicos de Torreón - Resultados de Monitoreo Atmosférico](http://datostrc.gob.mx/datasets/ver/32732)
* [Norma Oficial Mexicana NOM-025-SSA1-1993](http://www.salud.gob.mx/unidades/cdi/nom/025ssa13.html)
* [Norma Oficial Mexicana NOM-025-SSA1-2014](http://dof.gob.mx/nota_detalle.php?codigo=5357042&fecha=20/08/2014)","Medio Ambiente, Recursos Naturales"
Sustentabilidad,Concentración de Partículas Menores a 10 micras (Promedio Anual),"Suma total de partículas menores a 10 micras recogidas diariamente durante un año, dividida entre el volumen de aire muestreado. Se expresa en microgramos sobre metro cúbico.",Fuente: DGMA,Medio Ambiente
Sustentabilidad,Concentración de Partículas Menores a 2.5 micras (Promedio Anual),"Suma total de partículas menores a 2.5 micras recogidas diariamente durante un año, dividida entre el volumen de aire muestreado. Se expresa en microgramos sobre metro cúbico.",Fuente: SEMA,Medio Ambiente
Sustentabilidad,Concentración de Partículas Suspendidas Totales,Calidad del aire por la medición de las partículas suspendidas en microgramos por metro cúbico en promedio de 24 horas. La Norma Oficial Mexicana NOM-025-SSA1-1993 indica que el límite para efectos de protección de la salud es 210 ug por m3.,"* En 2016 Torreón contaba con 7 equipos manuales de PST (Partículas Suspendidas Totales) y 3 equipos de PM10 (Partículas Menores a 10 micras). En 2017 sólo se tienen operando los 3 equipos de PM10.
* Se ajustaron las fuentes para generar varias gráficas, una por cada estación de monitoreo.
* Fuente: [Dirección General de Medio Ambiente de Torreón](http://www.torreon.gob.mx/medioambiente/)
* Descarga: [Portal de Datos Públicos de Torreón - Resultados de Monitoreo Atmosférico](http://datostrc.gob.mx/datasets/ver/32732)
* [Norma Oficial Mexicana NOM-025-SSA1-1993](http://www.salud.gob.mx/unidades/cdi/nom/025ssa13.html)
* [Norma Oficial Mexicana NOM-025-SSA1-2014](http://dof.gob.mx/nota_detalle.php?codigo=5357042&fecha=20/08/2014)","Medio Ambiente, Recursos Naturales"
Sustentabilidad,Consumo de Agua,"Incluido en el subíndice ""Manejo Sustentable del Medio Ambiente"". Mide la cantidad de metros cúbicos consumida en la ciudad.","Fuente: IMCO, basado en CONAGUA. [Consulta] (""http://imco.org.mx/indices/#!/#indicesreeleccion-municipal-y-rendicion-de-cuentas%2F"")","Medio Ambiente, Recursos Naturales"
Sustentabilidad,Consumo de Agua Facturado,Consumo anual de agua por persona expresado en metros cúbicos.,Total facturado dividido entre la población.,"Recursos Naturales, Objetivos del Milenio"
